Epoch,ContrastiveLoss,ContrastiveAccuracy
0,4.920831592715516,0.02029697681871595
1,4.300720175918268,0.04721717765196026
2,3.8150918694580493,0.07274863796602928
3,3.642887473917332,0.07616707616707617
4,3.4827500557412905,0.0915500480717872
5,3.3005934523887377,0.12210233949364384
6,3.213389976494977,0.1383399209486166
7,3.0776553875735018,0.17177651960260656
8,3.0301640187801957,0.18203183420574726
9,2.9262258163114794,0.2078837731011644
10,2.8469574127067516,0.2277534451447495
11,2.767458113683324,0.25552825552825553
12,2.7036203681206215,0.2802051062920628
13,2.6392563703108807,0.29686999252216645
14,2.534343477009105,0.32496528148702064
15,2.1977561298681767,0.4561478474521953
16,2.089564471017747,0.5071039418865506
17,2.037597508657546,0.525691699604743
18,1.970594437754884,0.5503685503685504
19,1.940620663214703,0.5674607413737849
20,1.8938142953275823,0.5906420254246341
21,1.8132444985058842,0.6220489263967525
22,1.7839360646650093,0.6445892532849055
23,1.7265334753763109,0.6751415447067621
24,1.6644713035246141,0.7004593526332656
25,1.6180417152489124,0.720222198483068
26,1.574454780338573,0.7436171349214827
27,1.5672921167344462,0.750667663711142
28,1.5314388242708583,0.7635936331588505
29,1.5045145326325682,0.7726738596303814
30,1.510333527107628,0.766050635615853
31,1.477160207876543,0.7825018694583912
32,1.4711018494602774,0.7811131289392159
33,1.4631067287354242,0.7827155218459566
34,1.4298825566055013,0.7993804080760603
35,1.4174187582771793,0.8036534558273689
36,1.4031599184282784,0.80920841790407
37,1.377844021028402,0.8254459993590428
38,1.389140131927672,0.8202115158636898
39,1.3676201267307306,0.8282234803973935
40,1.344835637175307,0.8378378378378378
41,1.359709017739004,0.8357013139621835
42,1.3375060505607501,0.8402948402948403
43,1.3318259890387658,0.8484136310223267
44,1.316401449190516,0.8425381903642774
45,1.3025171148533723,0.8529003311612007
46,1.2893962065378826,0.8541822454865933
47,1.294817071788165,0.8551436812306378
48,1.2789000086232918,0.8549300288430723
49,1.2765486937801853,0.861446426663818
50,1.275634110784855,0.8661467791902574
51,1.2605251008961476,0.8675355197094328
52,1.2614857886924224,0.8764020937933982
53,1.2487458081877962,0.8757611366307019
54,1.245702198978995,0.8771498771498771
55,1.2342611774295367,0.8782181390877043
56,1.2239458820446818,0.8833457963892747
57,1.2177379863197302,0.887725670334366
58,1.2145081089467418,0.8874051917530178
59,1.2105301016447496,0.8870847131716697
60,1.1961829212247108,0.8919987180856747
61,1.2019898317703583,0.8907168037602821
62,1.194949367824866,0.8958444610618523
63,1.1832292951694152,0.8969127229996795
64,1.1657858928855585,0.9085567781219955
65,1.183684647691493,0.8926396752483708
66,1.1719363165550492,0.9035359470142079
67,1.1561944861801303,0.9069543852152547
68,1.150808843625646,0.9063134280525584
69,1.1527240858191536,0.9084499519282128
70,1.143102770354472,0.9082362995406473
71,1.1432260068095461,0.9083431257344301
72,1.1356814884815087,0.9116547377416943
73,1.1288174159672795,0.9194530498878325
74,1.1367115175642934,0.9152868283303066
75,1.1355061656763765,0.9138980878111312
76,1.1316516845404696,0.9167823950432646
77,1.1251992473796921,0.9158209592992201
78,1.116790001489678,0.9157141331054375
79,1.1299755812502232,0.9134707830360004
80,1.1153571865185588,0.917743830787309
81,1.112517460065634,0.9171028736246127
82,1.1084394079892814,0.9197735284691806
83,1.1041342212634833,0.9239397500267066
84,1.115814329207349,0.9207349642132251
85,1.1148094871417196,0.921482747569704
86,1.1055628158608262,0.9222305309261831
87,1.1052073471400203,0.9196667022753979
88,1.1063650797824471,0.9213759213759214
89,1.090202494340689,0.9252216643520992
90,1.101236456713709,0.9244738809956201
91,1.0899376704984782,0.9289605811344942
92,1.0963946820116368,0.9236192714453584
93,1.086857982233268,0.9265035786774917
94,1.096424058383825,0.9250080119645337
95,1.0952998310530266,0.9257557953210127
96,1.0912976240625187,0.9240465762204892
97,1.0942356081641451,0.9255421429334473
98,1.0926581282599444,0.9259694477085781
99,1.0955123743232416,0.9273581882277534
